@relation cepstral_vec_all.txt-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute ' sex' {' female',' male'}
@attribute ' dim1' numeric
@attribute ' dim2' numeric
@attribute ' dim3' numeric
@attribute ' dim4' numeric
@attribute ' dim5' numeric
@attribute ' dim6' numeric
@attribute ' dim7' numeric
@attribute ' dim8' numeric
@attribute ' dim9' numeric
@attribute ' dim10' numeric
@attribute ' dim11' numeric
@attribute ' dim12' numeric
@attribute ' dim13' numeric

@data
' female',96.873047,-2.717908,-2.361195,-24.904234,1.225069,1.793046,-7.486906,-5.871333,-9.180806,6.40384,-20.905475,-12.25047,-13.038419
' female',85.711129,-4.905431,-5.609792,-19.781364,-1.333901,5.972699,20.602663,7.688369,-27.149109,-10.103459,7.719918,1.189212,20.947452
' female',83.957271,-1.41695,-0.628244,-18.04046,-6.723232,-14.907035,-5.941845,21.351433,26.018637,8.096351,-27.400048,-1.556344,-3.617374
' female',85.868304,-6.200584,-1.798054,-18.488184,-6.25764,-5.669174,12.489675,30.965566,-8.095715,-21.782073,-8.897022,5.250758,-13.437918
' female',85.310821,-3.593694,-1.201446,-19.289815,-6.923228,-10.175838,7.710482,30.351518,8.35485,-19.041442,-19.283358,7.310516,-15.500376
' female',80.872233,2.526208,-0.599886,-17.318015,-3.719259,-14.248985,-15.616077,2.400047,16.637196,38.948139,-1.584563,-17.129047,-9.533084
' female',86.497345,-6.836898,-4.350338,-18.759467,-5.150043,3.497779,19.851669,17.431729,-27.11884,-14.215819,4.991369,3.125827,5.615789
' female',89.240621,-8.098674,-0.365222,-19.034166,-3.486088,-12.96285,12.610851,31.320036,3.264159,-27.195172,-10.610812,6.37632,-17.053415
' female',89.427326,-4.994272,-6.140412,-15.999793,1.871932,-12.773631,-17.630845,17.583402,27.784845,21.565661,-27.2842,-8.485573,-0.189651
' female',89.891847,-6.882206,-4.423724,-15.583802,-1.491807,-16.007428,2.409466,31.444341,17.485448,-17.720091,-25.983179,11.303444,-13.340223
' female',89.013392,-2.94222,-6.725587,-18.428329,7.796082,-11.82462,-17.210729,-5.803118,18.273024,38.296564,2.441811,-16.288238,-11.666831
' female',92.311563,-10.167492,-2.321544,-8.185616,-19.033835,-6.210828,2.835038,27.991453,16.865708,-8.074157,-30.243119,7.359636,-7.300469
' female',90.371904,-9.3128,-1.608673,-13.025732,-11.786261,-6.950403,8.935761,32.929463,1.142132,-21.355949,-14.515254,6.104535,-15.82627
' female',90.645329,-8.40895,-1.788878,-5.084974,-19.943056,-13.959913,-1.29445,8.916098,23.891991,24.513164,-19.252394,-19.0713,5.944403
' female',93.05516,-8.828691,1.775605,-2.804572,-19.025723,-12.128151,-11.759595,-4.576292,9.551517,33.381347,19.807906,-13.918872,-15.675519
' female',87.899225,-6.921404,-10.277233,-7.307162,-8.047433,-1.875848,21.803158,21.725854,-29.817077,-12.653197,4.988983,0.517267,2.576139
' female',89.862882,-8.815996,-2.11826,-12.92868,-11.502565,-6.970384,9.420405,32.07899,1.367599,-22.214928,-13.903092,6.889184,-16.781726
' female',92.313292,-7.766886,-3.855482,-1.100016,-15.014855,-16.232435,-11.226667,3.590017,6.986411,40.527289,9.883667,-23.141872,-7.943438
' female',87.954909,-6.576826,-10.082309,-8.38444,-8.851873,-0.620199,22.503159,21.181156,-31.268346,-12.880695,6.605484,-0.49004,4.770591
' female',91.858339,-10.160314,-1.373632,-10.768493,-15.471002,-8.41334,3.535275,28.742034,14.746537,-9.565233,-26.891747,7.345476,-10.380858
' female',91.409331,-8.0103,-3.77083,-5.766853,-15.403039,-15.951733,-1.586491,12.361831,23.24672,24.297225,-23.838509,-18.182474,9.315724
' female',86.867601,-4.954444,0.078838,-20.055717,-5.005049,-12.941519,9.963957,27.371545,12.464089,-20.142193,-20.512009,9.322064,-16.532653
' female',87.022722,-1.485328,-2.365173,-19.892298,2.822254,-14.058838,-17.222404,-2.949049,15.86219,43.556223,1.739704,-19.284753,-12.506804
' female',89.0868,-8.776798,0.676838,-20.585378,-4.539113,-7.973423,11.589332,30.350739,-1.339809,-24.103836,-11.334923,5.644641,-15.160712
' female',87.302567,-4.735564,-0.823401,-19.315078,-2.921126,-16.408241,-8.746134,20.404055,27.851739,12.420472,-30.662278,-3.750978,-0.198542
' female',86.078678,-5.710501,-4.179693,-19.993879,-2.914179,4.493491,20.430406,12.921886,-27.158122,-12.644538,6.732529,1.079908,13.390336
' female',85.641763,-0.412014,-0.913008,-19.602186,1.304093,-14.128662,-15.541581,-6.782968,6.060144,40.892716,19.935897,-15.602383,-18.568381
' female',82.538543,2.52494,9.079842,-19.241279,-6.17199,-7.577365,-9.922678,-1.142659,-27.824136,-7.365781,-5.866091,30.225859,29.212584
' female',86.733547,-1.907633,6.241015,-23.216924,-0.989483,-8.722994,-14.67483,-10.264197,-19.433702,21.493628,32.06964,30.040197,-12.738654
' female',83.992377,1.022125,6.535368,-20.812338,-3.745303,-8.331019,-11.340144,-10.517638,-24.032807,8.436078,22.880097,41.657219,5.829809
' female',83.69736,5.135589,5.541407,-19.423842,-5.246864,-10.023147,-10.031792,2.721039,-17.466293,-11.575372,-22.678365,-3.561572,9.134549
' female',88.395634,-5.165254,-7.572855,-19.360459,9.101485,-4.594175,-16.795825,-8.225445,6.063162,37.772206,8.673143,-8.872688,-18.558881
' female',96.523484,-7.183085,-2.102169,-22.273583,3.179825,-2.266646,-15.009732,-10.508104,-19.448418,17.894463,24.007415,34.882798,-9.119788
' female',96.334617,-5.963584,-7.785883,-17.614202,5.310119,-1.88309,-14.687002,0.644747,-8.276997,-5.827341,-25.165704,12.500756,33.795314
' female',97.746081,-6.516627,-2.513101,-21.442645,-1.556268,0.948869,-12.428298,-8.266395,-21.084171,3.798174,8.183764,38.235983,19.199217
' female',95.850572,-4.420153,-7.067652,-20.72646,6.362793,-2.936758,-9.460767,-2.900186,-8.769775,3.094488,-22.558641,-14.580921,-4.540035
' female',95.512627,-13.214421,9.909935,-1.610667,-15.246429,-11.401108,-14.501914,-12.379464,-7.77791,-3.058534,19.409699,32.167688,22.202664
' female',95.865172,-13.29844,8.481913,-3.216376,-15.401896,-13.051331,-12.685883,-11.037218,-7.149723,8.05538,29.599084,30.317373,0.162502
' female',95.020894,-12.2701,10.301785,0.220548,-14.342366,-9.3664,-13.437961,-15.152124,-6.379921,-13.506496,-1.633594,13.675166,35.071807
' female',96.951769,-11.528479,11.844833,-0.262738,-14.798301,-4.123398,-13.183511,-12.611781,-7.423272,-17.259767,-9.0404,-14.119016,2.368528
' female',96.712341,-13.913397,4.351174,-4.965408,-15.380936,-12.445354,-10.803017,-9.221329,6.778497,31.047533,26.073018,-7.447381,-20.558088
' female',98.409043,-13.386841,2.97129,-5.414898,-10.170363,-13.631739,-8.487905,-11.745602,-16.731488,16.88388,28.316699,30.243881,-0.910821
' female',105.135377,-11.862845,-2.005279,-7.328124,-11.508356,-11.263117,0.96892,0.88813,-14.911058,-1.137149,-18.702865,-19.930712,6.164048
' female',98.199894,-13.765531,0.01038,-5.477581,-8.658318,-15.326941,-10.346447,-6.678322,1.747276,35.881062,28.098049,-13.581634,-21.203118
' female',99.674393,-14.09685,3.595358,-4.424079,-10.107115,-13.577114,-5.183073,-10.690193,-21.49192,5.96919,15.52213,35.610988,23.560746
' female',103.61518,-13.714902,3.448306,-7.454368,-13.543747,-11.934104,-0.381098,-2.575211,-21.020504,-8.126815,-9.365799,12.253646,34.46864
' female',92.309536,-2.729249,-0.327058,-23.420077,-0.777298,-0.799168,-10.299571,-5.317797,-25.933695,-1.702102,14.644949,43.903964,12.592651
' female',95.75187,-0.766097,-1.320893,-24.542312,1.949221,-1.710659,-5.984417,-7.053245,-10.935314,2.812557,-23.280754,-14.129242,-8.382361
' female',91.735012,-4.230981,-0.163737,-25.531022,2.327168,1.031852,-12.027705,-11.162728,-21.586866,17.286754,27.974356,32.874136,-12.365738
' female',95.929087,-4.093272,1.516024,-21.835887,-3.109829,-2.203309,-9.352436,-2.437194,-17.98615,-7.099847,-18.18865,14.365433,31.069986
' female',88.646228,-3.351168,-5.368995,-20.57632,4.829679,-5.484832,-18.095518,-9.706084,8.282883,41.677699,11.659851,-10.501145,-18.922226
' female',96.577159,-0.002124,2.380649,-10.444035,4.731204,-3.381846,-12.826947,-8.779587,-9.027878,-9.59654,-6.744646,-17.347993,-1.472947
' female',97.580193,3.985926,3.491652,-6.159768,4.065121,-6.262575,-13.635568,-11.378509,-5.087616,-10.103206,0.361209,-11.101621,0.222793
' female',99.599058,1.13218,1.899131,-11.481597,3.068844,-4.692996,-9.807461,-11.345385,-5.500332,-5.885789,-0.905094,-24.722215,-5.304859
' female',99.017192,1.759152,4.281089,-7.936621,1.314576,-10.3744,-14.195852,-9.262119,-1.716402,-5.078899,3.202687,-9.69874,-6.896196
' female',95.963253,6.11559,3.793964,-3.337301,-0.993567,-5.395796,-15.743116,-14.650049,2.742309,-11.833037,2.911837,-7.629136,0.546689
